id_cat,name_cat,url_cat
category-5155,Echelle multi-positions,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-multi-positions
category-5146,Escabeau,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/escabeau
category-5156,Echelle télescopique,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-telescopique
category-5147,Echafaudage,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echafaudage
category-5151,Echelle double,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-double
category-5150,Echelle de toit,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-de-toit
category-5149,Marchepied,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/marchepied
category-5153,Echelle coulissante,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-coulissante
category-5152,Echelle simple,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/echelle-simple
category-5148,Plateforme individuelle,https://www.centrale-brico.com/atelier-chantier/travail-en-hauteur/plateforme-individuelle
category-5055,Quincaillerie,https://www.centrale-brico.com/quincaillerie
category-5056,Ameublement,https://www.centrale-brico.com/quincaillerie/ameublement
category-1938,Coulisse,https://www.centrale-brico.com/quincaillerie/ameublement/coulisse
category-1937,Taquet,https://www.centrale-brico.com/quincaillerie/ameublement/taquet
category-1936,Assemblage meuble,https://www.centrale-brico.com/quincaillerie/ameublement/assemblage-meuble
category-1930,Console,https://www.centrale-brico.com/quincaillerie/ameublement/console
category-1935,Fermeture meuble,https://www.centrale-brico.com/quincaillerie/ameublement/fermeture-meuble
category-1929,Charnière,https://www.centrale-brico.com/quincaillerie/ameublement/charniere
category-1928,Poignée meuble,https://www.centrale-brico.com/quincaillerie/ameublement/poignee-meuble
category-2049,Sécurité Enfants,https://www.centrale-brico.com/quincaillerie/ameublement/securite-enfants
category-5159,Pistons et compas,https://www.centrale-brico.com/quincaillerie/ameublement/pistons-et-compas
category-5160,Tiroirs,https://www.centrale-brico.com/quincaillerie/ameublement/tiroirs
category-1940,Pied de meuble,https://www.centrale-brico.com/quincaillerie/ameublement/pied-de-meuble
category-1939,Tourillon,https://www.centrale-brico.com/quincaillerie/ameublement/tourillon
category-5144,Armoire-Penderie,https://www.centrale-brico.com/quincaillerie/armoire-penderie
category-5161,Accessoires pour armoires,https://www.centrale-brico.com/quincaillerie/armoire-penderie/accessoires-pour-armoires
category-5162,Barres de penderies,https://www.centrale-brico.com/quincaillerie/armoire-penderie/barres-de-penderies
category-5165,Eléments pour compositions intérieur,https://www.centrale-brico.com/quincaillerie/armoire-penderie/elements-pour-compositions-interieur
category-5164,Porte-pantalons,https://www.centrale-brico.com/quincaillerie/armoire-penderie/porte-pantalons
category-5163,Rangement de chaussures,https://www.centrale-brico.com/quincaillerie/armoire-penderie/rangement-de-chaussures
category-5290,Armoire d'intérieur,https://www.centrale-brico.com/quincaillerie/armoire-penderie/armoire-d-interieur
category-5057,Bâtiment,https://www.centrale-brico.com/quincaillerie/batiment
category-1774,Bâche de protection,https://www.centrale-brico.com/quincaillerie/batiment/bache-de-protection
category-1773,Boîte aux lettres,https://www.centrale-brico.com/quincaillerie/batiment/boite-aux-lettres
category-1776,Armoire à clés,https://www.centrale-brico.com/quincaillerie/batiment/armoire-a-cles
category-2056,Accessoires Portail,https://www.centrale-brico.com/quincaillerie/batiment/accessoires-portail
category-1777,Signalisation,https://www.centrale-brico.com/quincaillerie/batiment/signalisation
category-1775,Coffre-fort,https://www.centrale-brico.com/quincaillerie/batiment/coffre-fort
category-5258,Tôle et profilé,https://www.centrale-brico.com/quincaillerie/batiment/tole-et-profile
category-5291,Lambris,https://www.centrale-brico.com/quincaillerie/batiment/lambris
category-5292,Trappe de visite,https://www.centrale-brico.com/quincaillerie/batiment/trappe-de-visite
category-5306,Plancher et sol,https://www.centrale-brico.com/quincaillerie/batiment/plancher-et-sol
category-5316,Escalier,https://www.centrale-brico.com/quincaillerie/batiment/escalier
category-5317,Garde-corps,https://www.centrale-brico.com/quincaillerie/batiment/garde-corps
category-5318,Main courante,https://www.centrale-brico.com/quincaillerie/batiment/main-courante
category-5058,Fixation,https://www.centrale-brico.com/quincaillerie/fixation
category-1763,Rondelle,https://www.centrale-brico.com/quincaillerie/fixation/rondelle
category-1933,Cache-vis,https://www.centrale-brico.com/quincaillerie/fixation/cache-vis
category-1932,Vis à tôle,https://www.centrale-brico.com/quincaillerie/fixation/vis-a-tole
category-2043,Auto-Agrippant,https://www.centrale-brico.com/quincaillerie/fixation/auto-agrippant
category-1767,Goupille,https://www.centrale-brico.com/quincaillerie/fixation/goupille
category-1766,Vis à plâtre,https://www.centrale-brico.com/quincaillerie/fixation/vis-a-platre
category-1765,Ecrou,https://www.centrale-brico.com/quincaillerie/fixation/ecrou
category-1764,Vis à métaux,https://www.centrale-brico.com/quincaillerie/fixation/vis-a-metaux
category-1926,Tirefond,https://www.centrale-brico.com/quincaillerie/fixation/tirefond
category-1762,Tige filetée,https://www.centrale-brico.com/quincaillerie/fixation/tige-filetee
category-1754,Cheville support creux,https://www.centrale-brico.com/quincaillerie/fixation/cheville-support-creux
category-1752,Cheville tous matériaux,https://www.centrale-brico.com/quincaillerie/fixation/cheville-tous-materiaux
category-1753,Boulon,https://www.centrale-brico.com/quincaillerie/fixation/boulon
category-1755,Cheville fixation lourde,https://www.centrale-brico.com/quincaillerie/fixation/cheville-fixation-lourde
category-1756,Cheville support plein,https://www.centrale-brico.com/quincaillerie/fixation/cheville-support-plein
category-1757,Piton - Crochet - Gond,https://www.centrale-brico.com/quincaillerie/fixation/piton---crochet---gond
category-1758,Pointe-Clous,https://www.centrale-brico.com/quincaillerie/fixation/pointe-clous
category-1759,Vis autoforeuse,https://www.centrale-brico.com/quincaillerie/fixation/vis-autoforeuse
category-1760,Vis à bois,https://www.centrale-brico.com/quincaillerie/fixation/vis-a-bois
category-1761,Cheville à frapper,https://www.centrale-brico.com/quincaillerie/fixation/cheville-a-frapper
category-1521,Résine-Scellement chimique,https://www.centrale-brico.com/quincaillerie/fixation/resine-scellement-chimique
category-1518,Ecrous à sertir-Oeilletage,https://www.centrale-brico.com/quincaillerie/fixation/ecrous-a-sertir-oeilletage
category-1517,Rivetage,https://www.centrale-brico.com/quincaillerie/fixation/rivetage
category-1934,Cheville fixation spécifique,https://www.centrale-brico.com/quincaillerie/fixation/cheville-fixation-specifique
category-5249,Vis à béton,https://www.centrale-brico.com/quincaillerie/fixation/vis-a-beton
category-5293,Enduit et mortier,https://www.centrale-brico.com/quincaillerie/fixation/enduit-et-mortier
category-5294,Vis inox,https://www.centrale-brico.com/quincaillerie/fixation/vis-inox
category-5295,Vis relieuse,https://www.centrale-brico.com/quincaillerie/fixation/vis-relieuse
category-5059,Meuble-Rangement,https://www.centrale-brico.com/quincaillerie/meuble-rangement
category-1531,Roulette,https://www.centrale-brico.com/quincaillerie/meuble-rangement/roulette
category-1534,Console,https://www.centrale-brico.com/quincaillerie/meuble-rangement/console
category-1533,Patte-Equerre,https://www.centrale-brico.com/quincaillerie/meuble-rangement/patte-equerre
category-1532,Crémaillère,https://www.centrale-brico.com/quincaillerie/meuble-rangement/cremaillere
category-5296,Boîte de rangement,https://www.centrale-brico.com/quincaillerie/meuble-rangement/boite-de-rangement
category-5297,Portemanteau,https://www.centrale-brico.com/quincaillerie/meuble-rangement/portemanteau
category-5402,Bibliothèque,https://www.centrale-brico.com/quincaillerie/meuble-rangement/bibliotheque
category-5403,Bureau,https://www.centrale-brico.com/quincaillerie/meuble-rangement/bureau
category-5404,Commode,https://www.centrale-brico.com/quincaillerie/meuble-rangement/commode
category-5405,Meuble TV,https://www.centrale-brico.com/quincaillerie/meuble-rangement/meuble-tv
