id_cat,is_page,name_cat,parent_cat,url_cat
category-1287,1,Prise de courant,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/prise-de-courant
category-1286,1,Fiche mâle,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/fiche-male
category-1283,1,Accessoire branchement,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/accessoire-branchement
category-1285,1,Câble-Rallonge,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/cable-rallonge
category-1955,1,Fils et câbles,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/fils-et-cables
category-1958,1,Cosse,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/cosse
category-1320,1,Enrouleur,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/enrouleur
category-2051,1,Fiche femelle,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/fiche-femelle
category-5271,1,Gaine -  conduit électrique,https://www.centrale-brico.com/electricite/branchement,https://www.centrale-brico.com/electricite/branchement/gaine-conduit-electrique
category-5014,0,Eclairage,https://www.centrale-brico.com/electricite,https://www.centrale-brico.com/electricite/eclairage
category-1956,1,Lampe à poser,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-a-poser
category-1970,1,Lampe à incandescence,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-a-incandescence
category-1969,1,Lampe Fluocompacte,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-fluocompacte
category-1968,1,Lampe Halogène,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-halogene
category-1967,1,Projecteur Halogène,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/projecteur-halogene
category-1966,1,Luminaire Extérieur,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/luminaire-exterieur
category-1965,1,Lampe plafonnier,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-plafonnier
category-1964,1,Lampe en applique,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-en-applique
category-1962,1,Spot encastrable,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/spot-encastrable
category-1961,1,Spot à fixer,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/spot-a-fixer
category-1957,1,Lampe LED,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-led
category-1963,1,Lampe suspendue,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-suspendue
category-1960,1,Lampadaire d'intérieur,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampadaire-d-interieur
category-2052,1,Projecteur LED,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/projecteur-led
category-1291,1,Signalisation,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/signalisation
category-1290,1,Interrupteur,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/interrupteur
category-1289,1,Douille,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/douille
category-1288,1,Baladeuse,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/baladeuse
category-5272,1,Accessoires pour lustre,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/accessoires-pour-lustre
category-5273,1,Lampe veilleuse,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampe-veilleuse
category-5430,1,Lampadaire d'extérieur,https://www.centrale-brico.com/electricite/eclairage,https://www.centrale-brico.com/electricite/eclairage/lampadaire-d-exterieur
category-5015,0,Installation,https://www.centrale-brico.com/electricite,https://www.centrale-brico.com/electricite/installation
category-1297,1,Horloge-Mesure,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/horloge-mesure
category-1298,1,Interrupteur-Prise-Télérupteur,https://www.centrale-brico.com/electricite/installation,https://www.centrale-brico.com/electricite/installation/interrupteur-prise-telerupteur
