cat_product,id_cat,id_product,name_product,price_product,url_product
Rabot,category-1563,B6793100,"Rabot 18 V HO 18 LTX 20-82 - Pick+Mix (sans batterie), coffret Metabox",246.77,https://www.centrale-brico.com/metabo-rabot-18-v-ho-18-ltx-20-82-pickmix-sans-batterie-coffret-metabox-b6793100
Rabot,category-1563,B6822900,Raboteuse de chantier DH 330 - 1800 W,544.79,https://www.centrale-brico.com/metabo-raboteuse-de-chantier-dh-330-1800-w-b6822900
Rabot,category-1563,B6823000,"Raboteuse dégauchisseuse HC 260 C Moteur induction, mono 2,0Kw",1.009.56,https://www.centrale-brico.com/metabo-raboteuse-degauchisseuse-hc-260-c-moteur-induction-mono-20kw-b6823000
Rabot,category-1563,B7476500,"Rabot De Menuisier En Tôle Fischer Darex, L.230 Mm",24.32,https://www.centrale-brico.com/fischer-darex-rabot-de-menuisier-en-tole-fischer-darex-l230-mm-b7476500
Rabot,category-1563,B8350500,Dégauchisseuse-raboteuse - 1250 W,372.07,https://www.centrale-brico.com/zipper-degauchisseuse-raboteuse-1250-w-b8350500
Rabot,category-1563,B8350600,Dégauchisseuse-raboteuse - 1500 W,611.17,https://www.centrale-brico.com/zipper-degauchisseuse-raboteuse-1500-w-b8350600
Rabot,category-1563,B9069100,Dégauchisseuse – AHM410SMW2_230V – 410 mm – Arbre hélicoïdal – Moteur 3000 W – Tables 2000 mm,3.175.11,https://www.centrale-brico.com/holzmann-degauchisseuse-ahm410smw2230v-410-mm-arbre-helicoidal-moteur-3000-w-tables-2000-mm-b9069100
Rabot,category-1563,B9069200,Dégauchisseuse – AHM410SMW2_400V – 410 mm – Arbre hélicoïdal – Moteur 4000 W – Tables 2000 mm,2.949.87,https://www.centrale-brico.com/holzmann-degauchisseuse-ahm410smw2400v-410-mm-arbre-helicoidal-moteur-4000-w-tables-2000-mm-b9069200
Défonceuse,category-1564,B45900,Défonceuse électrique RT-RO 55,91.50,https://www.centrale-brico.com/einhell-defonceuse-electrique-rt-ro-55-b45900
Défonceuse,category-1564,B7984600,Défonceuse sans fil – TP-RO 18 Li BL-Solo – 18 V – Brushless – 10 000 à 30 000 tr/min – Course 30 mm – Power X-Change,144.75,https://www.centrale-brico.com/einhell-defonceuse-sans-fil-tp-ro-18-li-bl-solo-18-v-brushless-10-000-a-30-000-trmin-course-30-mm-power-x-change-b7984600
